address,hwaddr,client_id,valid_lifetime,expire,subnet_id,fqdn_fwd,fqdn_rev,hostname,state,user_context,pool_id
10.60.1.10,02:11:22:33:44:01,kea-sample-client-001,604800,1787875200,11,0,0,,0,,0
10.60.1.10,02:11:22:33:44:01,kea-sample-client-001,604800,1788307200,11,0,0,,0,,0
10.60.1.11,02:11:22:33:44:02,kea-sample-client-002,604800,1788307200,11,0,0,,0,,0
10.60.1.12,02:11:22:33:44:03,kea-sample-client-003,86400,1788264000,11,0,0,,0,,0
10.60.1.13,02:11:22:33:44:04,kea-sample-client-004,604800,1788048000,11,0,0,,0,,0
10.60.1.14,02:11:22:33:44:05,kea-sample-client-005,604800,1788307200,11,0,0,,1,,0
10.60.1.15,02:11:22:33:44:06,kea-sample-client-006,604800,1788307200,11,0,0,,2,,0
10.60.1.16,02:11:22:33:44:07,kea-sample-client-007,604800,1788307200,11,0,0,,0,,0
10.60.1.16,02:11:22:33:44:07,kea-sample-client-007,604800,1788307200,11,0,0,,3,,0
10.60.1.17,02:11:22:33:44:08,kea-sample-client-008,604800,1788307200,11,0,0,,0,,0
10.60.2.10,02:11:22:33:44:11,kea-sample-client-011,604800,1788307200,12,0,0,,0,,0
10.60.2.11,02:11:22:33:44:12,kea-sample-client-012,604800,1788307200,12,0,0,,0,,0
10.60.2.12,02:11:22:33:44:13,,604800,1788307200,12,0,0,,0,,0
10.60.2.13,,kea-sample-client-014,604800,1788307200,12,0,0,,0,,0
10.60.2.14,02:11:22:33:44:15,kea-sample-client-015,604800,1788307200,12,0,0,,0,,0
10.60.2.15,02:11:22:33:44:16,kea-sample-client-016,86400,1788264000,12,0,0,,0,,0
10.60.2.16,02:11:22:33:44:17,kea-sample-client-017,604800,1788307200,12,0,0,,0,,0
